acid,epoxide,tg,std
COC(=O)COc1ccc(NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O)cc1,CCNC(=O)c1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,406.524,16.9369
Cn1ccc(NC(=O)C(CCC(=O)O)CCC(=O)O)n1,O=C(NCC1CCN(Cc2ccccc2)CC1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,442.3973,33.509
CCN(CC)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,CCc1ccccc1NN=Cc1cccc(OCC2CO2)c1OCC1CO1,358.2256,34.3379
CC1(C(=O)O)CCN(CC(=O)Nc2cccc(C(=O)O)c2)C1,CC(NC(=O)CCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccccc1,421.0496,28.3497
O=C(O)CCNC(=O)CN1CCN(C(=O)c2ncccc2OCCC(=O)O)CC1,COc1ccc(Cn2cc(C(=O)NCCc3ccc(OCC4CO4)c(OCC4CO4)c3)cn2)cc1,406.0203,22.2049
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCN1CCCCC1,COc1cccc(CC(=O)NC(C)Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,389.3082,26.1725
O=C(O)COCC(COCC(=O)O)NC(=O)CCc1ccc(O)cc1,O=C(CCOCC1CO1)N1CCC(CCCOCC2CO2)CC1,402.7238,13.5752
O=C(O)CC1CCCN(Cc2ccc(C(=O)O)cc2)C1,CCOc1cc(C=CC(=O)c2ccccc2OCC2CO2)ccc1OCC1CO1,421.5055,27.0898
CN(CCCNC(=O)C1CCCCCC1)CC(=O)N(CCC(=O)O)CCC(=O)O,O=Cc1cccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,429.8789,28.6608
Cn1ccc(CNCCCNC(=O)C(CCC(=O)O)CCC(=O)O)cc1=O,C(=NOCc1cccnc1)c1ccc(OCC2CO2)c(OCC2CO2)c1,379.6552,23.621
O=C(O)COCCN(CCOCC(=O)O)CCC(=O)NCC(=O)c1ccccc1,Cc1cc(C)cc(C2CCN(C(=O)c3ccc(OCC4CO4)cc3OCC3CO3)CC2)c1,393.5184,20.913
COc1cc(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)ccc1O,O=C(CCCC1CO1)Nc1ccc(NC(=O)CCCC2CO2)c2cnccc12,453.9098,32.1505
COC(=O)c1cc(NC(=O)C(CCC(=O)O)CCC(=O)O)n(C)n1,O=C(CCC1CO1)N1CCN(C2CN(C(=O)CCC3CO3)C2)CC1,432.8075,17.3677
Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C,CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,427.6831,17.1043
O=C(O)CCN(CCC(=O)O)C(=O)C1CCN(C(=O)c2cccnc2)CC1,O=C(NCc1ccnc(OCc2ccccc2)c1)C(CC1CO1)CC1CO1,437.644,30.236
CCc1cccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)c1,O=C(NCc1ccccc1OCC1CO1)c1nnc2ccccc2c1OCC1CO1,402.3267,24.8125
CN1CCN(CCOc2ccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,Cc1ccc2c(OCC(=O)N(CC3CO3)CC3CO3)cc(C)nc2c1,416.3197,20.5936
